,sample,easting_wgs84,northing_wgs84,geometry
159,9334346,-91.91972,47.62083,POINT (581172.3068730531 5274723.759535933)
160,9334347,-91.92583,47.61833,POINT (580717.0541582567 5274439.540888232)
162,9334349,-91.93889,47.6175,POINT (579736.9502875188 5274333.788070766)
163,9334350,-91.94472,47.61667,POINT (579300.1153718435 5274235.567360107)
164,9334351,-91.95139,47.61528,POINT (578800.9848800399 5274074.289260244)
165,9334352,-91.95778,47.61389,POINT (578322.8694721487 5273913.336952827)
166,9334353,-91.96306,47.61167,POINT (577929.3795762574 5273661.2953549465)
170,9334362,-91.92194,47.62306,POINT (581002.0525421171 5274969.273247349)
171,9334363,-91.92222,47.62694,POINT (580975.0214237614 5275400.191521952)
172,9334364,-91.93472,47.62111,POINT (580044.7902732453 5274739.28712303)
174,9334366,-91.9525,47.61944,POINT (578711.3272144906 5274535.490926371)
177,9334369,-91.94306,47.63583,POINT (579395.833906751 5276366.648332247)
190,9493764,-91.78333,47.95,POINT (590845.0806962684 5311459.239387869)
191,9493765,-91.78333,47.95,POINT (590845.0806962684 5311459.239387869)
201,9494955,-91.86667,47.88333,POINT (584731.213215377 5303954.626391504)
204,9494958,-91.88333,47.86667,POINT (583512.4451350154 5302084.868506049)
205,9494959,-91.88333,47.95833,POINT (583365.0812982529 5312272.146890848)
206,9494960,-92.13333,47.85,POINT (564836.6275336635 5299992.1332104895)
208,9494962,-92.23333,47.85,POINT (557355.5535952132 5299913.0717982855)
209,9494963,-92.23333,47.85,POINT (557355.5535952132 5299913.0717982855)
215,9494969,-92.37083,47.79167,POINT (547121.8062535573 5293337.274914562)
